model,seed,condition,attack,epsilon,sample_index,true_label,clean_prediction,clean_confidence,input_prediction,input_confidence,purified_prediction,purified_confidence,reconstruction_error,threshold,threshold_fpr,detected,decision,final_prediction,original_correct,purified_correct,final_correct,safe_outcome,is_attack,device
smallcnn_standard,42,Clean,NONE,0.0,0,5,5,1.0,5,1.0,5,0.9763748049736023,0.027867840602993965,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,5,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,1,5,5,1.0,5,1.0,5,0.9998883008956909,0.021174494177103043,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,5,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,2,0,0,0.9999841451644897,0,0.9999841451644897,0,0.9998818635940552,0.027088938280940056,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,0,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,3,7,7,0.9999951124191284,7,0.9999951124191284,7,0.99802565574646,0.024505482986569405,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,7,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,4,1,1,0.9999986886978149,1,0.9999986886978149,1,0.9999957084655762,0.0020093335770070553,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,1,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,5,8,8,1.0,8,1.0,8,0.99811851978302,0.028232233598828316,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,8,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,6,5,5,0.9999982118606567,5,0.9999982118606567,5,0.9580904841423035,0.020570140331983566,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,5,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,7,0,0,0.9999146461486816,0,0.9999146461486816,0,0.999386191368103,0.01722692884504795,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,0,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,8,2,2,0.9999699592590332,2,0.9999699592590332,2,0.6001192331314087,0.036508798599243164,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,2,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,9,6,6,0.9999972581863403,6,0.9999972581863403,6,0.9886745810508728,0.021956775337457657,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,6,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,10,7,7,0.9950209856033325,7,0.9950209856033325,7,0.9850998520851135,0.010740944184362888,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,7,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,11,2,2,0.9293344020843506,2,0.9293344020843506,8,0.5542919635772705,0.009885678067803383,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,2,True,False,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,12,7,7,0.9999973773956299,7,0.9999973773956299,7,0.9990622401237488,0.014268174767494202,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,7,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,13,8,8,1.0,8,1.0,8,0.8818751573562622,0.043181128799915314,0.03807505965232849,0.05,True,ACCEPT_PURIFIED,8,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,14,4,4,0.9999998807907104,4,0.9999998807907104,4,0.9999970197677612,0.01500198058784008,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,4,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,15,0,0,0.9991163611412048,0,0.9991163611412048,0,0.998566210269928,0.03386532887816429,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,0,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,16,6,6,0.9999494552612305,6,0.9999494552612305,6,0.9938894510269165,0.015371985733509064,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,6,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,17,3,3,1.0,3,1.0,3,0.9999964237213135,0.0321936272084713,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,3,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,18,1,1,0.9999306201934814,1,0.9999306201934814,1,0.9999659061431885,0.005351461470127106,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,1,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,19,8,8,0.9999997615814209,8,0.9999997615814209,8,0.9684805870056152,0.029813557863235474,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,8,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,20,2,2,0.9994868040084839,2,0.9994868040084839,2,0.9795867800712585,0.023379944264888763,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,2,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,21,0,0,0.999891996383667,0,0.999891996383667,0,0.9997854828834534,0.01747281104326248,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,0,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,22,9,9,0.999997615814209,9,0.999997615814209,9,0.999884843826294,0.02486582100391388,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,9,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,23,4,4,0.999954342842102,4,0.999954342842102,1,0.910903811454773,0.03427673503756523,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,4,True,False,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,24,0,0,0.9999996423721313,0,0.9999996423721313,0,0.9999830722808838,0.013489292934536934,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,0,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,25,6,6,0.9998791217803955,6,0.9998791217803955,6,0.795405924320221,0.02410145476460457,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,6,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,26,9,9,0.9998939037322998,9,0.9998939037322998,9,0.9406644701957703,0.017106570303440094,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,9,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,27,4,4,1.0,4,1.0,4,0.9999998807907104,0.01383510697633028,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,4,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,28,0,0,0.9999974966049194,0,0.9999974966049194,0,0.999977707862854,0.022022059187293053,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,0,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,29,6,6,0.9997128844261169,6,0.9997128844261169,6,0.998024582862854,0.02554626204073429,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,6,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,30,9,9,0.9963478446006775,9,0.9963478446006775,4,0.6790693402290344,0.02771465852856636,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,9,True,False,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,31,5,5,0.9999492168426514,5,0.9999492168426514,5,0.8919339179992676,0.012803141959011555,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,5,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,32,8,8,1.0,8,1.0,1,0.9645989537239075,0.017616743221879005,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,8,True,False,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,33,2,2,0.9999860525131226,2,0.9999860525131226,2,0.9898696541786194,0.027891382575035095,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,2,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,34,2,2,0.9998722076416016,2,0.9998722076416016,2,0.9944818019866943,0.02013445273041725,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,2,True,True,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,35,3,3,0.9995176792144775,3,0.9995176792144775,6,0.37035518884658813,0.02547808550298214,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,3,True,False,True,True,False,cpu
smallcnn_standard,42,Clean,NONE,0.0,36,8,8,1.0,8,1.0,8,0.9999639987945557,0.0291831586509943,0.03807505965232849,0.05,False,ACCEPT_ORIGINAL,8,True,True,True,True,False,cpu
